,gene_name,protein_name
822,Fcan01_21819,OXA43383
823,Fcan01_21739,OXA43384
824,Fcan01_21731,OXA43392
825,Fcan01_21840,OXA43395
826,Fcan01_21844,OXA43399
827,Fcan01_21846,OXA43401
828,Fcan01_21848,OXA43403
829,Fcan01_21749,OXA43406
830,Fcan01_21878,OXA43415
831,Fcan01_21712,OXA43438
832,Fcan01_21823,OXA43445
833,Fcan01_21822,OXA43446
834,Fcan01_21798,OXA43452
835,Fcan01_21793,OXA43459
836,Fcan01_21726,OXA43465
837,Fcan01_21722,OXA43469
838,Fcan01_21857,OXA43472
839,Fcan01_21854,OXA43473
840,Fcan01_21855,OXA43474
841,Fcan01_21852,OXA43475
842,Fcan01_21851,OXA43478
843,Fcan01_21881,OXA43485
844,Fcan01_21809,OXA43496
845,Fcan01_21801,OXA43502
846,Fcan01_21704,OXA43516
847,Fcan01_21834,OXA43518
848,Fcan01_21835,OXA43519
849,Fcan01_21782,OXA43528
850,Fcan01_21783,OXA43529
851,Fcan01_21787,OXA43532
852,Fcan01_21467,OXA43540
853,Fcan01_21593,OXA43544
854,Fcan01_21597,OXA43548
855,Fcan01_21595,OXA43550
856,Fcan01_21368,OXA43554
857,Fcan01_21369,OXA43555
858,Fcan01_21366,OXA43558
859,Fcan01_21519,OXA43564
860,Fcan01_21513,OXA43566
861,Fcan01_21510,OXA43569
862,Fcan01_21650,OXA43580
863,Fcan01_21652,OXA43582
864,Fcan01_21496,OXA43586
865,Fcan01_21493,OXA43591
866,Fcan01_21491,OXA43593
867,Fcan01_21417,OXA43595
868,Fcan01_21411,OXA43600
869,Fcan01_21479,OXA43612
870,Fcan01_21602,OXA43614
871,Fcan01_21447,OXA43627
872,Fcan01_21689,OXA43633
873,Fcan01_21680,OXA43638
874,Fcan01_21687,OXA43639
875,Fcan01_21686,OXA43640
876,Fcan01_21684,OXA43642
877,Fcan01_21531,OXA43643
878,Fcan01_21530,OXA43644
879,Fcan01_21533,OXA43645
880,Fcan01_21532,OXA43646
881,Fcan01_21535,OXA43647
882,Fcan01_21538,OXA43652
883,Fcan01_21678,OXA43653
884,Fcan01_21679,OXA43654
885,Fcan01_21677,OXA43660
886,Fcan01_21675,OXA43662
887,Fcan01_21474,OXA43663
888,Fcan01_21471,OXA43668
889,Fcan01_21472,OXA43669
890,Fcan01_21473,OXA43670
891,Fcan01_21582,OXA43674
892,Fcan01_21589,OXA43681
893,Fcan01_21509,OXA43683
894,Fcan01_21501,OXA43685
895,Fcan01_21627,OXA43700
896,Fcan01_21422,OXA43705
897,Fcan01_21426,OXA43709
898,Fcan01_21425,OXA43710
899,Fcan01_21391,OXA43712
900,Fcan01_21397,OXA43718
901,Fcan01_21556,OXA43723
902,Fcan01_21551,OXA43728
903,Fcan01_21550,OXA43729
904,Fcan01_21558,OXA43731
905,Fcan01_21455,OXA43749
906,Fcan01_21698,OXA43752
907,Fcan01_21378,OXA43763
908,Fcan01_21527,OXA43773
909,Fcan01_21645,OXA43786
910,Fcan01_21405,OXA43806
911,Fcan01_21407,OXA43808
912,Fcan01_21406,OXA43809
913,Fcan01_21409,OXA43810
914,Fcan01_21575,OXA43814
915,Fcan01_21577,OXA43816
916,Fcan01_21430,OXA43834
917,Fcan01_21380,OXA43848
918,Fcan01_21389,OXA43851
919,Fcan01_21544,OXA43856
920,Fcan01_21541,OXA43861
921,Fcan01_21669,OXA43874
922,Fcan01_21166,OXA43878
923,Fcan01_21164,OXA43880
924,Fcan01_21259,OXA43887
925,Fcan01_21251,OXA43889
926,Fcan01_21048,OXA43897
927,Fcan01_21043,OXA43900
928,Fcan01_21283,OXA43912
929,Fcan01_21131,OXA43920
930,Fcan01_21139,OXA43924
931,Fcan01_21138,OXA43925
932,Fcan01_21207,OXA43926
933,Fcan01_21206,OXA43927
934,Fcan01_21209,OXA43934
935,Fcan01_21071,OXA43937
936,Fcan01_21075,OXA43941
937,Fcan01_21078,OXA43944
938,Fcan01_21331,OXA43947
939,Fcan01_21104,OXA43954
940,Fcan01_21101,OXA43959
941,Fcan01_21102,OXA43960
942,Fcan01_21185,OXA43963
943,Fcan01_21274,OXA43974
944,Fcan01_21271,OXA43979
945,Fcan01_21342,OXA43984
946,Fcan01_21347,OXA43989
947,Fcan01_21153,OXA43996
948,Fcan01_21229,OXA44006
949,Fcan01_21222,OXA44015
950,Fcan01_21316,OXA44035
951,Fcan01_21294,OXA44038
952,Fcan01_21293,OXA44045
953,Fcan01_21120,OXA44050
954,Fcan01_21127,OXA44053
955,Fcan01_21216,OXA44058
956,Fcan01_21217,OXA44059
957,Fcan01_21218,OXA44064
958,Fcan01_21085,OXA44068
959,Fcan01_21326,OXA44082
960,Fcan01_21327,OXA44083
961,Fcan01_21329,OXA44085
962,Fcan01_21178,OXA44087
963,Fcan01_21170,OXA44089
964,Fcan01_21175,OXA44092
965,Fcan01_21177,OXA44094
966,Fcan01_21039,OXA44097
967,Fcan01_21034,OXA44098
968,Fcan01_21035,OXA44099
969,Fcan01_21037,OXA44101
970,Fcan01_21248,OXA44104
971,Fcan01_21242,OXA44106
972,Fcan01_21240,OXA44108
973,Fcan01_21244,OXA44112
974,Fcan01_21233,OXA44124
975,Fcan01_21230,OXA44125
976,Fcan01_21067,OXA44137
977,Fcan01_21069,OXA44141
978,Fcan01_21068,OXA44142
979,Fcan01_21303,OXA44150
980,Fcan01_21110,OXA44162
981,Fcan01_21267,OXA44179
982,Fcan01_21090,OXA44185
983,Fcan01_21096,OXA44187
984,Fcan01_21098,OXA44191
985,Fcan01_21355,OXA44193
986,Fcan01_21356,OXA44196
987,Fcan01_21358,OXA44202
988,Fcan01_20836,OXA44209
989,Fcan01_20628,OXA44210
990,Fcan01_20629,OXA44211
991,Fcan01_20781,OXA44216
992,Fcan01_20871,OXA44224
993,Fcan01_20573,OXA44233
994,Fcan01_20547,OXA44238
995,Fcan01_20424,OXA44286
996,Fcan01_20886,OXA44298
997,Fcan01_20831,OXA44308
998,Fcan01_20386,OXA44345
999,Fcan01_20965,OXA44348
1000,Fcan01_20750,OXA44359
1001,Fcan01_21026,OXA44377
1002,Fcan01_20852,OXA44391
1003,Fcan01_20669,OXA44400
1004,Fcan01_20954,OXA44403
1005,Fcan01_20569,OXA44411
1006,Fcan01_20406,OXA44424
1007,Fcan01_20401,OXA44431
1008,Fcan01_20483,OXA44451
1009,Fcan01_20480,OXA44452
1010,Fcan01_20695,OXA44458
1011,Fcan01_20618,OXA44468
1012,Fcan01_20862,OXA44481
1013,Fcan01_20869,OXA44488
1014,Fcan01_20617,OXA44489
1015,Fcan01_20612,OXA44492
1016,Fcan01_20610,OXA44494
1017,Fcan01_20689,OXA44495
1018,Fcan01_20687,OXA44496
1019,Fcan01_20551,OXA44498
1020,Fcan01_20554,OXA44501
1021,Fcan01_20474,OXA44516
1022,Fcan01_20838,OXA44539
1023,Fcan01_21002,OXA44555
1024,Fcan01_20501,OXA44570
1025,Fcan01_20396,OXA44572
1026,Fcan01_20976,OXA44588
1027,Fcan01_20585,OXA44594
1028,Fcan01_20746,OXA44609
1029,Fcan01_21030,OXA44621
1030,Fcan01_21032,OXA44623
1031,Fcan01_20630,OXA44631
1032,Fcan01_20844,OXA44638
1033,Fcan01_20842,OXA44640
1034,Fcan01_20840,OXA44642
1035,Fcan01_20571,OXA44655
1036,Fcan01_20920,OXA44671
1037,Fcan01_20431,OXA44700
1038,Fcan01_20437,OXA44702
1039,Fcan01_20375,OXA44709
1040,Fcan01_20601,OXA44720
1041,Fcan01_20602,OXA44721
1042,Fcan01_20907,OXA44737
1043,Fcan01_20904,OXA44740
1044,Fcan01_20524,OXA44742
1045,Fcan01_20521,OXA44745
1046,Fcan01_20523,OXA44747
1047,Fcan01_20725,OXA44753
1048,Fcan01_20721,OXA44756
1049,Fcan01_20894,OXA44765
1050,Fcan01_20897,OXA44766
1051,Fcan01_20912,OXA44777
1052,Fcan01_20825,OXA44798
1053,Fcan01_20945,OXA44833
1054,Fcan01_20807,OXA44844
1055,Fcan01_20596,OXA44847
1056,Fcan01_20591,OXA44850
1057,Fcan01_20759,OXA44855
1058,Fcan01_20490,OXA44859
1059,Fcan01_20492,OXA44861
1060,Fcan01_20494,OXA44863
1061,Fcan01_20128,OXA44885
1062,Fcan01_19934,OXA44906
1063,Fcan01_20011,OXA44916
1064,Fcan01_20013,OXA44918
1065,Fcan01_19886,OXA44920
1066,Fcan01_19888,OXA44928
1067,Fcan01_19889,OXA44929
1068,Fcan01_20191,OXA44931
1069,Fcan01_20192,OXA44932
1070,Fcan01_20118,OXA44946
1071,Fcan01_20119,OXA44947
1072,Fcan01_19962,OXA44959
1073,Fcan01_19967,OXA44962
1074,Fcan01_20308,OXA44967
1075,Fcan01_19850,OXA44982
1076,Fcan01_20278,OXA45004
1077,Fcan01_20147,OXA45005
1078,Fcan01_20079,OXA45069
1079,Fcan01_19907,OXA45078
1080,Fcan01_19904,OXA45081
1081,Fcan01_19903,OXA45082
1082,Fcan01_20368,OXA45089
1083,Fcan01_20362,OXA45095
1084,Fcan01_20286,OXA45103
1085,Fcan01_20084,OXA45124
1086,Fcan01_20009,OXA45137
1087,Fcan01_20217,OXA45142
1088,Fcan01_20214,OXA45145
1089,Fcan01_20130,OXA45150
1090,Fcan01_20316,OXA45185
1091,Fcan01_19849,OXA45194
1092,Fcan01_19843,OXA45196
1093,Fcan01_20269,OXA45209
1094,Fcan01_20052,OXA45223
1095,Fcan01_20056,OXA45227
1096,Fcan01_20154,OXA45230
1097,Fcan01_20341,OXA45248
1098,Fcan01_20340,OXA45249
1099,Fcan01_19810,OXA45260
1100,Fcan01_19994,OXA45269
1101,Fcan01_19890,OXA45283
1102,Fcan01_19892,OXA45285
1103,Fcan01_19896,OXA45289
1104,Fcan01_20181,OXA45294
1105,Fcan01_20186,OXA45297
1106,Fcan01_19914,OXA45312
1107,Fcan01_19911,OXA45317
1108,Fcan01_19912,OXA45318
1109,Fcan01_19823,OXA45335
1110,Fcan01_20156,OXA45338
1111,Fcan01_20170,OXA45373
1112,Fcan01_20171,OXA45374
1113,Fcan01_20175,OXA45378
1114,Fcan01_19948,OXA45386
1115,Fcan01_19942,OXA45388
1116,Fcan01_19945,OXA45393
1117,Fcan01_19829,OXA45398
1118,Fcan01_20324,OXA45406
1119,Fcan01_20029,OXA45420
1120,Fcan01_20258,OXA45423
1121,Fcan01_19445,OXA45445
1122,Fcan01_19449,OXA45451
1123,Fcan01_19752,OXA45454
1124,Fcan01_19751,OXA45457
1125,Fcan01_19757,OXA45459
1126,Fcan01_19525,OXA45466
1127,Fcan01_19491,OXA45476
1128,Fcan01_19490,OXA45477
1129,Fcan01_19590,OXA45491
1130,Fcan01_19594,OXA45495
1131,Fcan01_19597,OXA45498
1132,Fcan01_19622,OXA45507
1133,Fcan01_19621,OXA45510
1134,Fcan01_19519,OXA45512
1135,Fcan01_19512,OXA45515
1136,Fcan01_19515,OXA45518
1137,Fcan01_19709,OXA45521
1138,Fcan01_19703,OXA45525
1139,Fcan01_19782,OXA45534
1140,Fcan01_19784,OXA45536
1141,Fcan01_19786,OXA45538
1142,Fcan01_19789,OXA45539
1143,Fcan01_19425,OXA45542
1144,Fcan01_19679,OXA45552
1145,Fcan01_19545,OXA45556
1146,Fcan01_19543,OXA45558
1147,Fcan01_19542,OXA45559
1148,Fcan01_19541,OXA45560
1149,Fcan01_19730,OXA45564
1150,Fcan01_19654,OXA45573
1151,Fcan01_19648,OXA45574
1152,Fcan01_19644,OXA45576
1153,Fcan01_19645,OXA45577
1154,Fcan01_19473,OXA45586
1155,Fcan01_19472,OXA45587
1156,Fcan01_19470,OXA45589
1157,Fcan01_19475,OXA45592
1158,Fcan01_19767,OXA45596
1159,Fcan01_19760,OXA45602
1160,Fcan01_19537,OXA45605
1161,Fcan01_19533,OXA45609
1162,Fcan01_19674,OXA45626
1163,Fcan01_19406,OXA45645
1164,Fcan01_19404,OXA45647
1165,Fcan01_19613,OXA45651
1166,Fcan01_19611,OXA45653
1167,Fcan01_19616,OXA45656
1168,Fcan01_19614,OXA45658
1169,Fcan01_19618,OXA45660
1170,Fcan01_19791,OXA45661
1171,Fcan01_19563,OXA45672
1172,Fcan01_19692,OXA45677
1173,Fcan01_19718,OXA45684
1174,Fcan01_19719,OXA45685
1175,Fcan01_19792,OXA45701
1176,Fcan01_19662,OXA45706
1177,Fcan01_19451,OXA45714
1178,Fcan01_19775,OXA45724
1179,Fcan01_19556,OXA45728
1180,Fcan01_19557,OXA45729
1181,Fcan01_19745,OXA45736
1182,Fcan01_19688,OXA45742
1183,Fcan01_19689,OXA45743
1184,Fcan01_19583,OXA45756
1185,Fcan01_19581,OXA45758
1186,Fcan01_19580,OXA45759
1187,Fcan01_19585,OXA45760
1188,Fcan01_19631,OXA45762
1189,Fcan01_19635,OXA45766
1190,Fcan01_19777,OXA45772
1191,Fcan01_19770,OXA45773
1192,Fcan01_19772,OXA45775
1193,Fcan01_19773,OXA45776
1194,Fcan01_19500,OXA45782
1195,Fcan01_19601,OXA45798
1196,Fcan01_19603,OXA45800
1197,Fcan01_19606,OXA45803
1198,Fcan01_19609,OXA45806
1199,Fcan01_19657,OXA45808
1200,Fcan01_19651,OXA45812
1201,Fcan01_19577,OXA45819
1202,Fcan01_19574,OXA45820
1203,Fcan01_19681,OXA45825
1204,Fcan01_19723,OXA45831
1205,Fcan01_19012,OXA45863
1206,Fcan01_19384,OXA45883
1207,Fcan01_19387,OXA45884
1208,Fcan01_19382,OXA45889
1209,Fcan01_19389,OXA45890
1210,Fcan01_19309,OXA45902
1211,Fcan01_19301,OXA45908
1212,Fcan01_18917,OXA45942
1213,Fcan01_19279,OXA45954
1214,Fcan01_19278,OXA45955
1215,Fcan01_19130,OXA45960
1216,Fcan01_18965,OXA45991
1217,Fcan01_19363,OXA46011
1218,Fcan01_19362,OXA46012
1219,Fcan01_19364,OXA46018
1220,Fcan01_19295,OXA46036
1221,Fcan01_19003,OXA46047
1222,Fcan01_19009,OXA46051
1223,Fcan01_19217,OXA46052
1224,Fcan01_18936,OXA46068
1225,Fcan01_18938,OXA46070
1226,Fcan01_19318,OXA46089
1227,Fcan01_18981,OXA46093
1228,Fcan01_18985,OXA46097
1229,Fcan01_19056,OXA46107
1230,Fcan01_19107,OXA46119
1231,Fcan01_19346,OXA46147
1232,Fcan01_19063,OXA46158
1233,Fcan01_18955,OXA46163
1234,Fcan01_19178,OXA46181
1235,Fcan01_19377,OXA46202
1236,Fcan01_19209,OXA46229
1237,Fcan01_19245,OXA46232
1238,Fcan01_19326,OXA46247
1239,Fcan01_19325,OXA46248
1240,Fcan01_19320,OXA46253
1241,Fcan01_19259,OXA46276
1242,Fcan01_19199,OXA46307
1243,Fcan01_19353,OXA46313
1244,Fcan01_18577,OXA46334
1245,Fcan01_18626,OXA46341
1246,Fcan01_18620,OXA46343
1247,Fcan01_18867,OXA46354
1248,Fcan01_18866,OXA46355
1249,Fcan01_18861,OXA46360
1250,Fcan01_18774,OXA46367
1251,Fcan01_18772,OXA46369
1252,Fcan01_18661,OXA46386
1253,Fcan01_18664,OXA46391
1254,Fcan01_18781,OXA46399
1255,Fcan01_18810,OXA46406
1256,Fcan01_18598,OXA46410
1257,Fcan01_18592,OXA46416
1258,Fcan01_18708,OXA46427
1259,Fcan01_18788,OXA46431
1260,Fcan01_18787,OXA46434
1261,Fcan01_18656,OXA46441
1262,Fcan01_18659,OXA46444
1263,Fcan01_18845,OXA46448
1264,Fcan01_18755,OXA46459
1265,Fcan01_18751,OXA46463
1266,Fcan01_18753,OXA46465
1267,Fcan01_18566,OXA46471
1268,Fcan01_18560,OXA46477
1269,Fcan01_18609,OXA46481
1270,Fcan01_18607,OXA46483
1271,Fcan01_18606,OXA46484
1272,Fcan01_18687,OXA46501
1273,Fcan01_18685,OXA46503
1274,Fcan01_18684,OXA46504
1275,Fcan01_18769,OXA46520
1276,Fcan01_18903,OXA46524
1277,Fcan01_18678,OXA46529
1278,Fcan01_18674,OXA46533
1279,Fcan01_18820,OXA46544
1280,Fcan01_18582,OXA46557
1281,Fcan01_18749,OXA46559
1282,Fcan01_18739,OXA46560
1283,Fcan01_18737,OXA46566
1284,Fcan01_18628,OXA46571
1285,Fcan01_18745,OXA46589
1286,Fcan01_18615,OXA46591
1287,Fcan01_18611,OXA46593
1288,Fcan01_18612,OXA46594
1289,Fcan01_18885,OXA46602
1290,Fcan01_18802,OXA46629
1291,Fcan01_18710,OXA46637
1292,Fcan01_18717,OXA46642
1293,Fcan01_18643,OXA46646
1294,Fcan01_18831,OXA46659
1295,Fcan01_18726,OXA46674
1296,Fcan01_18316,OXA46713
1297,Fcan01_18325,OXA46715
1298,Fcan01_18423,OXA46724
1299,Fcan01_18174,OXA46727
1300,Fcan01_18170,OXA46731
1301,Fcan01_18247,OXA46736
1302,Fcan01_18245,OXA46738
1303,Fcan01_18464,OXA46765
1304,Fcan01_18373,OXA46773
1305,Fcan01_18515,OXA46789
1306,Fcan01_18510,OXA46794
1307,Fcan01_18236,OXA46797
1308,Fcan01_18237,OXA46798
1309,Fcan01_18495,OXA46816
1310,Fcan01_18388,OXA46817
1311,Fcan01_18383,OXA46820
1312,Fcan01_18384,OXA46825
1313,Fcan01_18385,OXA46826
1314,Fcan01_18412,OXA46827
1315,Fcan01_18413,OXA46828
1316,Fcan01_18111,OXA46847
1317,Fcan01_18265,OXA46858
1318,Fcan01_18194,OXA46874
1319,Fcan01_18166,OXA46900
1320,Fcan01_18350,OXA46905
1321,Fcan01_18254,OXA46914
1322,Fcan01_18255,OXA46915
1323,Fcan01_18256,OXA46916
1324,Fcan01_18250,OXA46918
1325,Fcan01_18251,OXA46919
1326,Fcan01_18173,OXA46937
1327,Fcan01_18476,OXA46946
1328,Fcan01_18283,OXA46958
1329,Fcan01_18137,OXA46973
1330,Fcan01_18509,OXA46986
1331,Fcan01_18331,OXA47013
1332,Fcan01_18553,OXA47053
1333,Fcan01_18552,OXA47054
1334,Fcan01_18550,OXA47056
1335,Fcan01_18557,OXA47057
1336,Fcan01_18456,OXA47066
1337,Fcan01_18415,OXA47088
1338,Fcan01_18527,OXA47095
1339,Fcan01_18524,OXA47096
1340,Fcan01_18525,OXA47097
1341,Fcan01_18227,OXA47109
1342,Fcan01_18489,OXA47121
1343,Fcan01_18394,OXA47124
1344,Fcan01_18391,OXA47127
1345,Fcan01_18298,OXA47159
1346,Fcan01_18121,OXA47166
1347,Fcan01_17519,OXA47167
1348,Fcan01_17893,OXA47174
1349,Fcan01_18008,OXA47179
1350,Fcan01_18003,OXA47182
1351,Fcan01_17661,OXA47209
1352,Fcan01_17662,OXA47210
1353,Fcan01_17666,OXA47214
1354,Fcan01_17914,OXA47226
1355,Fcan01_17639,OXA47270
1356,Fcan01_17631,OXA47278
1357,Fcan01_17778,OXA47290
1358,Fcan01_17775,OXA47299
1359,Fcan01_17576,OXA47302
1360,Fcan01_17941,OXA47310
1361,Fcan01_17947,OXA47316
1362,Fcan01_17946,OXA47317
1363,Fcan01_17970,OXA47352
1364,Fcan01_17726,OXA47369
1365,Fcan01_17809,OXA47409
1366,Fcan01_17698,OXA47433
1367,Fcan01_17692,OXA47441
1368,Fcan01_17551,OXA47455
1369,Fcan01_17558,OXA47460
1370,Fcan01_18045,OXA47462
1371,Fcan01_18066,OXA47480
1372,Fcan01_17741,OXA47509
1373,Fcan01_17957,OXA47522
1374,Fcan01_17953,OXA47526
1375,Fcan01_17908,OXA47562
1376,Fcan01_17900,OXA47568
1377,Fcan01_17732,OXA47576
1378,Fcan01_18024,OXA47597
1379,Fcan01_17934,OXA47620
1380,Fcan01_17844,OXA47672
1381,Fcan01_17847,OXA47675
1382,Fcan01_17653,OXA47680
1383,Fcan01_17758,OXA47686
1384,Fcan01_17757,OXA47691
1385,Fcan01_17592,OXA47701
1386,Fcan01_17960,OXA47710
1387,Fcan01_17306,OXA47723
1388,Fcan01_17302,OXA47727
1389,Fcan01_16893,OXA47739
1390,Fcan01_17003,OXA47783
1391,Fcan01_17081,OXA47799
1392,Fcan01_17089,OXA47803
1393,Fcan01_17371,OXA47831
1394,Fcan01_17378,OXA47832
1395,Fcan01_17436,OXA47854
1396,Fcan01_17053,OXA47857
1397,Fcan01_16831,OXA47872
1398,Fcan01_17324,OXA47890
1399,Fcan01_17480,OXA47897
1400,Fcan01_17488,OXA47904
1401,Fcan01_17156,OXA47908
1402,Fcan01_17150,OXA47914
1403,Fcan01_17402,OXA47920
1404,Fcan01_17295,OXA47974
1405,Fcan01_16867,OXA47994
1406,Fcan01_17106,OXA47999
1407,Fcan01_17452,OXA48011
1408,Fcan01_17451,OXA48012
1409,Fcan01_17450,OXA48013
1410,Fcan01_17459,OXA48014
1411,Fcan01_17186,OXA48021
1412,Fcan01_17224,OXA48030
1413,Fcan01_17226,OXA48032
1414,Fcan01_17229,OXA48035
1415,Fcan01_17072,OXA48051
1416,Fcan01_16855,OXA48061
1417,Fcan01_16916,OXA48073
1418,Fcan01_17347,OXA48092
1419,Fcan01_17273,OXA48102
1420,Fcan01_17421,OXA48117
1421,Fcan01_16922,OXA48134
1422,Fcan01_16925,OXA48137
1423,Fcan01_17333,OXA48151
1424,Fcan01_17208,OXA48187
1425,Fcan01_17204,OXA48191
1426,Fcan01_17011,OXA48205
1427,Fcan01_16973,OXA48211
1428,Fcan01_16970,OXA48214
1429,Fcan01_17096,OXA48229
1430,Fcan01_17112,OXA48246
1431,Fcan01_17362,OXA48257
1432,Fcan01_17197,OXA48279
1433,Fcan01_16981,OXA48303
1434,Fcan01_17066,OXA48306
1435,Fcan01_17065,OXA48309
1436,Fcan01_16909,OXA48333
1437,Fcan01_17359,OXA48335
1438,Fcan01_17490,OXA48345
1439,Fcan01_17495,OXA48348
1440,Fcan01_17141,OXA48353
1441,Fcan01_17142,OXA48356
1442,Fcan01_17262,OXA48369
1443,Fcan01_17413,OXA48373
1444,Fcan01_17411,OXA48375
1445,Fcan01_17417,OXA48377
1446,Fcan01_17386,OXA48387
1447,Fcan01_17035,OXA48394
1448,Fcan01_16950,OXA48412
1449,Fcan01_16143,OXA48424
1450,Fcan01_16146,OXA48427
1451,Fcan01_16144,OXA48429
1452,Fcan01_16145,OXA48430
1453,Fcan01_16473,OXA48437
1454,Fcan01_16470,OXA48438
1455,Fcan01_16673,OXA48450
1456,Fcan01_16269,OXA48454
1457,Fcan01_16356,OXA48462
1458,Fcan01_16354,OXA48464
1459,Fcan01_16358,OXA48466
1460,Fcan01_16253,OXA48467
1461,Fcan01_16549,OXA48483
1462,Fcan01_16541,OXA48491
1463,Fcan01_16429,OXA48519
1464,Fcan01_16191,OXA48539
1465,Fcan01_16196,OXA48546
1466,Fcan01_16516,OXA48564
1467,Fcan01_16280,OXA48582
1468,Fcan01_16282,OXA48584
1469,Fcan01_16749,OXA48585
1470,Fcan01_16128,OXA48595
1471,Fcan01_16415,OXA48610
1472,Fcan01_16419,OXA48614
1473,Fcan01_16658,OXA48618
1474,Fcan01_16236,OXA48650
1475,Fcan01_16520,OXA48658
1476,Fcan01_16266,OXA48718
1477,Fcan01_16265,OXA48719
1478,Fcan01_16779,OXA48735
1479,Fcan01_16776,OXA48740
1480,Fcan01_16770,OXA48742
1481,Fcan01_16773,OXA48743
1482,Fcan01_16311,OXA48752
1483,Fcan01_16633,OXA48767
1484,Fcan01_16212,OXA48804
1485,Fcan01_16242,OXA48825
1486,Fcan01_16155,OXA48847
1487,Fcan01_16582,OXA48862
1488,Fcan01_16369,OXA48899
1489,Fcan01_16362,OXA48903
1490,Fcan01_16750,OXA48909
1491,Fcan01_16248,OXA48917
1492,Fcan01_16165,OXA48921
1493,Fcan01_16712,OXA48942
1494,Fcan01_16455,OXA48952
1495,Fcan01_16696,OXA48961
1496,Fcan01_16336,OXA48973
1497,Fcan01_16254,OXA48990
1498,Fcan01_16277,OXA49001
1499,Fcan01_16763,OXA49022
1500,Fcan01_16765,OXA49028
1501,Fcan01_16303,OXA49045
1502,Fcan01_16294,OXA49074
1503,Fcan01_16383,OXA49083
1504,Fcan01_16076,OXA49115
1505,Fcan01_15815,OXA49127
1506,Fcan01_15413,OXA49148
1507,Fcan01_15626,OXA49167
1508,Fcan01_15916,OXA49178
1509,Fcan01_15324,OXA49188
1510,Fcan01_15496,OXA49196
1511,Fcan01_15798,OXA49200
1512,Fcan01_15515,OXA49202
1513,Fcan01_15510,OXA49204
1514,Fcan01_15707,OXA49210
1515,Fcan01_16022,OXA49228
1516,Fcan01_15420,OXA49253
1517,Fcan01_15424,OXA49257
1518,Fcan01_15426,OXA49259
1519,Fcan01_15946,OXA49271
1520,Fcan01_15940,OXA49277
1521,Fcan01_16098,OXA49284
1522,Fcan01_15678,OXA49295
1523,Fcan01_15670,OXA49297
1524,Fcan01_15732,OXA49312
1525,Fcan01_15802,OXA49347
1526,Fcan01_15936,OXA49370
1527,Fcan01_15504,OXA49387
1528,Fcan01_15800,OXA49390
1529,Fcan01_15884,OXA49413
1530,Fcan01_16047,OXA49427
1531,Fcan01_15614,OXA49447
1532,Fcan01_15543,OXA49462
1533,Fcan01_15330,OXA49469
1534,Fcan01_16016,OXA49484
1535,Fcan01_15710,OXA49502
1536,Fcan01_15456,OXA49531
1537,Fcan01_15451,OXA49532
1538,Fcan01_15952,OXA49554
1539,Fcan01_15360,OXA49565
1540,Fcan01_16105,OXA49573
1541,Fcan01_16103,OXA49575
1542,Fcan01_15661,OXA49590
1543,Fcan01_16066,OXA49614
1544,Fcan01_15982,OXA49620
1545,Fcan01_15398,OXA49636
1546,Fcan01_15581,OXA49654
1547,Fcan01_15904,OXA49676
1548,Fcan01_15508,OXA49681
1549,Fcan01_15776,OXA49688
1550,Fcan01_16057,OXA49708
1551,Fcan01_15835,OXA49711
1552,Fcan01_15341,OXA49764
1553,Fcan01_16087,OXA49770
1554,Fcan01_15684,OXA49778
1555,Fcan01_15724,OXA49793
1556,Fcan01_15579,OXA49803
1557,Fcan01_16004,OXA49807
1558,Fcan01_15525,OXA49814
1559,Fcan01_15527,OXA49816
1560,Fcan01_15522,OXA49820
1561,Fcan01_15865,OXA49826
1562,Fcan01_15448,OXA49829
1563,Fcan01_15446,OXA49835
1564,Fcan01_15849,OXA49848
1565,Fcan01_15921,OXA49871
1566,Fcan01_15923,OXA49873
1567,Fcan01_15529,OXA49890
1568,Fcan01_15560,OXA49906
1569,Fcan01_15044,OXA49917
1570,Fcan01_15045,OXA49918
1571,Fcan01_15205,OXA49930
1572,Fcan01_14979,OXA49933
1573,Fcan01_14978,OXA49934
1574,Fcan01_14972,OXA49938
1575,Fcan01_14836,OXA49947
1576,Fcan01_14837,OXA49948
1577,Fcan01_15129,OXA49953
1578,Fcan01_15123,OXA49957
1579,Fcan01_15122,OXA49958
1580,Fcan01_15125,OXA49959
1581,Fcan01_15126,OXA49962
1582,Fcan01_14778,OXA49968
1583,Fcan01_14777,OXA49973
1584,Fcan01_15252,OXA49992
1585,Fcan01_14943,OXA49998
1586,Fcan01_14948,OXA50003
1587,Fcan01_15098,OXA50006
1588,Fcan01_15094,OXA50008
1589,Fcan01_15113,OXA50018
1590,Fcan01_15118,OXA50023
1591,Fcan01_15119,OXA50024
1592,Fcan01_14780,OXA50031
1593,Fcan01_14786,OXA50033
1594,Fcan01_14860,OXA50040
1595,Fcan01_14865,OXA50043
1596,Fcan01_14869,OXA50045
1597,Fcan01_15193,OXA50052
1598,Fcan01_14703,OXA50058
1599,Fcan01_14701,OXA50060
1600,Fcan01_14706,OXA50061
1601,Fcan01_14705,OXA50064
1602,Fcan01_14708,OXA50065
1603,Fcan01_15022,OXA50075
1604,Fcan01_14918,OXA50078
1605,Fcan01_14910,OXA50086
1606,Fcan01_15147,OXA50091
1607,Fcan01_15144,OXA50094
1608,Fcan01_15143,OXA50095
